CA,Comité d'Application de la CTOI
CE,Commission Européenne
CPC,Parties Contractantes et Parties Coopérantes Non-Contractantes de la CTOI
CS,Comité Scientifique de la CTOI
CTOI,Commission des Thons de l'Océan Indien
CWP,Coordinating Working Party on fishery statistics
DCP,Dispositif de Concentration de Poisson
DCPA,Dispositif de Concentration de Poissons Ancré
DCPD,Dispositif de Concentration de Poissons Dérivant
ETP,"Endangered, Threatened and Protected species"
GT,Groupe de Travail de la CTOI
INN,"Illicite, Non déclarée et Non réglementée"
JB,Jauge Brute
LHT,Longueur Hors Tout
MCG,Mesure de Conservation et de Gestion
MRO,Mécanisme Régional d'Observateurs de la CTOI
NU,Nations Unies
ONG,Organisation Non Gouvernementale
ORGP,Organisation Régional de Gestion des Pêches
PSER,Programme de Suivi Électronique Régional
RNA,Registre des Navires Autorisés de la CTOI
RU,Royaume-Uni
SSE,Systèmes de Suivi Électroniques
UE,Union Européenne
ZEE,Zone Économique Exclusive
