term,category,definition,source
Anchored fish aggregating device,IOTC,"A fish aggregating device tethered to the bottom of the ocean, usually consisting of a buoy, and anchored to the bottom of the ocean",Resolution [23/01](https://iotc.org/cmm/resolution-2301-management-anchored-fish-aggregating-devices-afads)
Artisanal fishery,FAO,"Traditional fishery that involves fishing households (as opposed to commercial companies), using relatively small amounts of capital and energy, relatively small fishing vessels (if any), making short fishing trips close to shore, mainly for local consumption. In practice, definition varies between countries, e.g., from gleaning or a one-man canoe in poor developing countries, to more than 20 m trawlers, seiners, or longliners in developed ones. Artisanal fisheries can be subsistence or commercial fisheries, providing for local consumption or export. They are sometimes referred to as small-scale fisheries", [FAO 2005](https://www.fao.org/documents/card/en/c/ae76ef51-be20-5e71-aec5-b469e5e0a673)
Artisanal fishery,IOTC,"Fishery composed of fishing vessels of less than 24 m length overall that exclusively operate in the exclusive economic zone of their flag state, i.e., not recorded in the IOTC Record of Authorised Vessels. Synonym to coastal fisheries",Resolution [15/02](https://www.iotc.org/cmm/resolution-1502-mandatory-statistical-reporting-requirements-iotc-contracting-parties-and)
Artisanal fishing vessel,IOTC,Fishing vessel less than 24 m in length overall operating inside the exclusive economic zone of a flag State and catching tuna or tuna-like species in the IOTC area of competence. Synonym to coastal fishing vessel,
Associated school,,"The fish school is associated with a topographic structure (e.g., seamount), an anchored or a drifting floating object, including man-made rafts such as fish aggregating devices and live animals in motion (e.g., whale sharks, cetaceans)",
Bycatch,FAO,Discarded catch plus incidental catch,[Alverson et al. 1994](https://www.fao.org/3/t4890e/T4890E00.htm)
Bycatch,IOTC,"All species, other than the 16 species listed in Annex B of the IOTC Agreement, caught or interacted with by fisheries for tuna and tuna-like species in the IOTC area of competence. A bycatch species includes those non-IOTC species which are (a) retained (byproduct), (b) incidentally taken in a fishery and returned to the sea (discarded); or (c) incidentally affected by interacting with fishing equipment in the fishery, but not taken",
Byproduct,,A species taken incidentally in a fishery while fishing for the target species that has some commercial value and is retained for sale,
Coastal fishery,IOTC,"Fishery composed of fishing vessels of less than 24 m length overall that exclusively operate in the Exclusive Economic Zone of their flag state, i.e., not recorded in the IOTC Record of Authorised Vessels. Synonym to IOTC artisanal fishery",Resolution [15/02](https://www.iotc.org/cmm/resolution-1502-mandatory-statistical-reporting-requirements-iotc-contracting-parties-and)
Conservation and management measure,IOTC,"Any measure adopted pursuant to Articles V(2)(c) and IX in the IOTC Agreement, and more generally where not applicable to IOTC such measures that are consistent with international law",[IOTC CMMs](https://www.iotc.org/cmms)
Coordinating Working Party on Fishery Statistics,FAO,"International and interorganizational forum for agreeing common definitions, classifications and standards for the collection of fishery and aquaculture statistics. It has developed common procedures for statistics collation which have streamlined processes and reduced the burden on the statistical offices of national fisheries and aquaculture production, as well as providing technical advice to participating organisations on fishery-related and aquaculture-related statistical matters, and facilitating the publication of methodological and reference documents",[CWP](https://www.fao.org/cwp-on-fishery-statistics/background/en/)
Disc width,IOTC,Length of a ray measured as the maximum straight distance between wing tips,[Length Measurements](https://data.iotc.org/reference/latest/domain/biology/#lengthMeasurements)
Discards,FAO,"All non-retained catch, including individuals released alive or discarded dead",
Drifting Fish Aggregating Device,IOTC,"Fish aggregating device not tethered to the bottom of the ocean typically composed of a floating structure (such as a bamboo or metal raft with buoyancy provided by buoys, corks, etc.) and of a submerged structure (made of canvass, ropes, etc.)",Resolution [19/02](https://iotc.org/cmm/resolution-1902-procedures-fish-aggregating-devices-fads-management-plan)
Drifting longline,FAO,"Longline kept near the surface or at a certain depth by means of regularly spaced floats. Drifting longlines may be of considerable length, and the snoods are usually longer and more widely spaced than for the bottom longlines. Some drifting longlines are set vertically, each line hanging from a float at the surface. They are usually worked in groups of several lines operated by a single boat",[Nédélec and Prado 1999](https://www.fao.org/3/t0367t/t0367t00.htm)
Driftnet,FAO,Type of gillnet that is not fixed to the seabed but allowed to drift with the current. Synonym to drift gillnet,https://www.fao.org/fishery/en/geartype/220/en
Elasmobranchs,,"Subclass of chondrichthyes or cartilaginous fish, including modern sharks (superorder Selachii), skates, rays, and sawfish (superorder Batoidea)",https://en.wikipedia.org/wiki/Elasmobranchii)
Engine power,,"Power that an engine can put out, generally expressed in kilowatt (kw) or horsepower (hp)",
Exclusive Economic Zone,,"An area beyond and adjacent to the territorial sea, subject to the specific legal regime established in the United Nations Convention on the Law of the Sea, which provides that it is not to extend beyond 200 nm from the baselines from which the breadth of the territorial sea is measured",
